indice_tiempo,ipi_agricultura_ganaderia_caza_silvicultura,ipi_pesca,ipi_explotacion_minas_canteras,ipi_industria_manufacturera,ipi_suministro_electricidad_gas_agua,ipi_construccion,ipi_sectores_productores_bienes,ipi_comercio_mayorista_minorista_reparaciones,ipi_hoteles_restaurantes,ipi_transporte_almacenamiento_comunicaciones,ipi_intermediacion_financiera,ipi_actividades_inmobiliarias_empresariales_alquiler,ipi_administracion_publica_defensa_seguridad_social,ipi_ensenianza,ipi_servicios_sociales_salud,ipi_otras_actividades_ser_sociales_personales,ipi_hogares_privados_servicio_domestico,ipi_sectores_productores_servicios,ipi_valor_agregado_bruto_precios_basicos,ipi_impuesto_valor_agregado,ipi_derechos_importacion,ipi_impuestos_productos_netos_subsidios,ipi_producto_interno_bruto_precios_mercado
2004-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999997,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000003,100.0,100.00000000000004,99.99999874782523,99.99999990072656
2005-01-01,95.13775882606751,125.14854593302067,118.93507952375202,108.26280620109088,114.82587169965113,122.16025321285147,108.05891150933309,108.94811223445421,118.26908019875953,106.06716374439446,113.16912168008567,109.69916706326106,120.93350128579394,120.4006034107788,112.40465941560964,112.2103745877656,109.27052503600576,111.5594982525563,110.02712037715925,109.58177953317036,99.17446498033367,115.26772608596715,110.31751109088374
2006-01-01,102.81115895022019,120.07931635991464,160.39707265752966,118.87504353189814,119.34244908035392,150.88180623287965,123.334188153127,121.6418495758849,137.23797638017518,115.63646927991135,121.72520942254306,122.54628706829742,149.1842869200271,148.56317990338673,138.4816718320542,128.49117410387635,126.03593885859352,127.03836308692085,125.43455161224884,122.04591267474096,114.07130764951445,130.2250242776689,125.47629818519319
2007-01-01,128.73962672791941,121.64102898402278,157.3980922845506,132.07406030925802,143.3967602631842,188.73870259944837,139.85528693984736,140.7038811348716,161.91667738449516,127.98779473082007,134.15079792235196,142.17756350124927,185.95915752513085,183.74691262763795,171.57422888943975,148.5931463179777,151.43292541277432,148.18167824708513,144.62355995805927,138.38553642019025,127.82098422105508,147.23969138302115,144.22236304089986
2008-01-01,166.04218825410337,148.19860362425632,173.92045429492276,158.48373888150712,156.1559692679453,242.05504196168164,169.55510164222056,172.41876155447895,210.47719089544339,152.6433501480592,164.0603641486914,167.5745576571481,244.86732832037436,241.45721513411132,228.96795341395486,182.72073475971155,191.02173080892447,183.38162774015194,177.5801395816076,166.32583198562781,143.5100727804288,193.5297757773431,177.6403647259423
2009-01-01,174.83544039562645,178.45288419361768,204.89843843638204,174.79247410725796,166.4800034602,278.07689834572284,187.7597739495313,194.10171379389692,230.92035409989492,170.49089162192243,189.0509103943992,198.95713453985604,304.17604696896785,290.9974502993037,280.44051107287845,218.5534042012371,234.3195862056759,215.5722840669285,204.53280924793825,190.93782391675464,157.4031338152049,228.4136031703872,204.95727717041606
2010-01-01,226.18576873109052,216.00209954077064,256.3990647420266,213.37517821982658,184.33110255490433,346.2552693539616,231.46861416772038,233.63421991784477,290.32598922061334,200.44985336883337,232.2663198581977,234.74520213979767,379.55922369291613,340.3309570157496,350.75586460977496,265.1295283311437,285.11685162346026,258.9424886956033,247.59491545230148,234.1576019453132,166.9766941247885,274.5380471591322,247.82434638668408
2011-01-01,301.0549128258098,207.59861915155588,311.7853269785972,259.9721231674409,220.94363128858424,460.9683583427489,290.3262744109046,277.5569849145345,382.8369470646331,239.69993210998234,276.0087681425065,286.19665460213264,496.42415765943946,455.7174375211057,468.6269954939397,333.9934492654971,368.5813064215898,320.95610848704996,308.47955004070553,281.75699934695524,174.2447369484756,331.2974182856196,306.567321403861
2012-01-01,346.29954627595964,234.96099652893508,367.7764262383248,311.2007884500572,249.27935948283775,572.494000456072,345.03182017023056,338.8397036848245,495.80195489616455,287.9920203216385,347.5291640368164,351.26457268056805,629.2835734490019,568.8713219310306,594.259319445515,418.85176981946427,472.65327686279113,399.7195968346,378.13052113195454,342.36015175960796,211.46036381710766,397.87976723118965,374.97745338814354
2013-01-01,409.7660911688155,359.2873007689869,437.87469696957595,383.89479838327486,338.7738802721639,731.0893007103602,424.45073406582435,419.2585594987935,618.0485547898185,347.9377771025948,435.39787418389244,448.7823532248075,798.9735301770809,698.3349086834411,753.0438878377182,532.1928307521353,611.2323832148743,500.2782905269465,470.21067965285016,426.5946335038823,295.10687054772393,470.76401764384315,464.78004777864896
2014-01-01,603.9880271354364,499.58381954561855,747.9436778260078,544.1769482968084,441.39972713443694,969.5690201093265,611.1994212406768,603.9815720407014,854.093987658803,466.7796439751119,595.1767853469089,586.395708764207,1083.7273312367663,910.6436281774879,1008.2496536038263,713.6369742736284,795.7055082675072,682.985768683839,654.5977026758105,608.7219295524422,436.35342773639707,695.0534669759725,652.0072626071285
2015-01-01,554.2229453212509,620.2395595102713,821.4992243933752,674.1495761047477,575.8967408894448,1207.5100169385198,706.6239906254109,851.7291500216149,1139.43807666968,572.6363792329171,727.3869869905626,774.5927300846845,1448.7537516422499,1259.72831620123,1337.6670397418802,949.0021672952603,1041.7655677483706,912.0923855739231,830.7972811869699,781.26728001508,490.91290101277804,853.0913828896256,825.3107381661559
2016-01-01,981.0698207939218,983.2886035033406,1210.8656199717352,938.5766216193042,989.5863817860708,1574.7588568396463,1034.3499593718152,1203.5846879332444,1508.7254639635412,762.9235978738864,1221.064409747208,1061.239381629531,1962.8320239769507,1680.036209209797,1853.403988334621,1290.5034943853661,1386.3865014837695,1267.4130832880546,1178.3685609685213,1088.2710966004477,747.5049978337906,1149.6905482857126,1164.6733967463142
2017-01-01,1077.3114659834664,1075.6508066576394,1489.8041221922597,1128.0548894149024,1477.8796740030741,2083.2954218883265,1259.509801154541,1508.2887536811204,2005.4174236012923,1016.0024668589344,1514.0451517493786,1415.8200079627225,2467.8234139642987,2153.0909949246598,2395.209609143104,1665.172790054783,1783.307416569951,1626.9842575007906,1486.3303939867649,1388.3635467146428,796.8257503970865,1449.9643417486488,1467.5756340552518
2018-01-01,1912.263088886322,2029.029499064321,2619.2539905209214,1608.765225630243,2804.252911000481,2642.087635167187,1948.622431066021,2107.8671637751063,2587.50356612282,1480.4955360465744,2110.823883394165,1929.4722884847197,3078.495923972053,2675.4192394248557,3123.625227906326,2149.6376154150043,2212.6910345598058,2186.9352245591585,2098.7034791072833,2008.5564236315158,1270.0033625888316,1885.598006681875,2064.919872563868
